评论内容,情感标签,评分
还可以吧，一般般,中性,3
退货很麻烦，服务不好,负面,1
客服态度很差，不推荐,负面,2
价格太贵，不值得,负面,2
价格太贵，不值得,负面,1
完全不符合预期，浪费钱,负面,1
价格实惠，质量不错,正面,4
价格太贵，不值得,负面,1
客服态度很好，解答很及时,正面,5
性价比一般，不算特别好,中性,3
中规中矩的产品,中性,3
这个产品非常好用，质量很棒！,正面,5
与描述不符，很失望,负面,1
可以接受，但不会再买,中性,3
完全不符合预期，浪费钱,负面,1
中规中矩的产品,中性,3
功能强大，操作简单，值得推荐,正面,4
这个产品非常好用，质量很棒！,正面,4
质量太差了，用了几天就坏了,负面,1
物流一般，包装还行,中性,3
物流太慢了，等了很久,负面,2
功能有问题，操作复杂,负面,2
快递很快，商品和描述一致,正面,4
物流太慢了，等了很久,负面,2
功能强大，操作简单，值得推荐,正面,4
物流太慢了，等了很久,负面,1
快递很快，商品和描述一致,正面,4
客服态度很好，解答很及时,正面,4
与描述不符，很失望,负面,2
功能强大，操作简单，值得推荐,正面,5
价格太贵，不值得,负面,1
中规中矩的产品,中性,3
还可以吧，一般般,中性,3
物流一般，包装还行,中性,3
性价比很高，推荐购买,正面,4
价格太贵，不值得,负面,2
这个产品非常好用，质量很棒！,正面,5
价格太贵，不值得,负面,2
外观设计很漂亮，用起来很顺手,正面,4
价格太贵，不值得,负面,1
普普通通，没什么特别的,中性,3
普普通通，没什么特别的,中性,3
快递很快，商品和描述一致,正面,4
中规中矩的产品,中性,3
外观很丑，做工粗糙,负面,2
外观设计很漂亮，用起来很顺手,正面,5
质量超出预期，服务态度很好,正面,5
还算满意，有改进空间,中性,3
这个产品非常好用，质量很棒！,正面,5
完全不符合预期，浪费钱,负面,2
可以接受，但不会再买,中性,3
性价比很高，推荐购买,正面,5
物流一般，包装还行,中性,3
中规中矩的产品,中性,3
还可以吧，一般般,中性,3
价格太贵，不值得,负面,2
还算满意，有改进空间,中性,3
外观很丑，做工粗糙,负面,1
与描述不符，很失望,负面,2
价格实惠，质量不错,正面,5
还可以吧，一般般,中性,3
质量超出预期，服务态度很好,正面,5
价格合理，质量还行,中性,3
质量超出预期，服务态度很好,正面,4
这是我买过最好的产品了,正面,5
质量太差了，用了几天就坏了,负面,2
可以接受，但不会再买,中性,3
功能强大，操作简单，值得推荐,正面,5
快递很快，商品和描述一致,正面,5
物流太慢了，等了很久,负面,2
完全不符合预期，浪费钱,负面,2
退货很麻烦，服务不好,负面,2
功能有问题，操作复杂,负面,2
物流很快，包装很好，非常满意,正面,5
物流很快，包装很好，非常满意,正面,5
中规中矩的产品,中性,3
物流一般，包装还行,中性,3
普普通通，没什么特别的,中性,3
价格太贵，不值得,负面,1
价格合理，质量还行,中性,3
质量太差了，用了几天就坏了,负面,2
符合预期，没有惊喜,中性,3
质量太差了，用了几天就坏了,负面,1
质量超出预期，服务态度很好,正面,5
质量太差了，用了几天就坏了,负面,1
性价比一般，不算特别好,中性,3
基本功能都有，凑合用,中性,3
这是我买过最好的产品了,正面,4
与描述不符，很失望,负面,2
外观很丑，做工粗糙,负面,2
还算满意，有改进空间,中性,3
性价比很高，推荐购买,正面,5
功能有问题，操作复杂,负面,1
功能强大，操作简单，值得推荐,正面,4
性价比很高，推荐购买,正面,4
物流一般，包装还行,中性,3
退货很麻烦，服务不好,负面,1
这是我买过最好的产品了,正面,5
性价比一般，不算特别好,中性,3
外观设计很漂亮，用起来很顺手,正面,4
价格合理，质量还行,中性,3
性价比很高，推荐购买,正面,4
客服态度很好，解答很及时,正面,4
中规中矩的产品,中性,3
客服态度很差，不推荐,负面,1
质量太差了，用了几天就坏了,负面,2
符合预期，没有惊喜,中性,3
外观设计很漂亮，用起来很顺手,正面,4
这是我买过最好的产品了,正面,4
价格合理，质量还行,中性,3
这是我买过最好的产品了,正面,5
基本功能都有，凑合用,中性,3
可以接受，但不会再买,中性,3
基本功能都有，凑合用,中性,3
价格合理，质量还行,中性,3
功能有问题，操作复杂,负面,1
外观很丑，做工粗糙,负面,2
外观设计很漂亮，用起来很顺手,正面,5
功能强大，操作简单，值得推荐,正面,4
外观设计很漂亮，用起来很顺手,正面,5
这是我买过最好的产品了,正面,4
物流很快，包装很好，非常满意,正面,5
物流太慢了，等了很久,负面,1
价格实惠，质量不错,正面,5
外观设计很漂亮，用起来很顺手,正面,5
外观设计很漂亮，用起来很顺手,正面,4
客服态度很差，不推荐,负面,1
价格实惠，质量不错,正面,4
这是我买过最好的产品了,正面,5
物流很快，包装很好，非常满意,正面,4
质量太差了，用了几天就坏了,负面,1
完全不符合预期，浪费钱,负面,2
性价比很高，推荐购买,正面,4
物流很快，包装很好，非常满意,正面,4
包装破损，商品有瑕疵,负面,2
客服态度很好，解答很及时,正面,5
外观很丑，做工粗糙,负面,2
包装破损，商品有瑕疵,负面,1
快递很快，商品和描述一致,正面,4
功能强大，操作简单，值得推荐,正面,5
功能有问题，操作复杂,负面,1
还算满意，有改进空间,中性,3
还可以吧，一般般,中性,3
功能强大，操作简单，值得推荐,正面,4
物流一般，包装还行,中性,3
这是我买过最好的产品了,正面,4
价格实惠，质量不错,正面,4
质量太差了，用了几天就坏了,负面,2
完全不符合预期，浪费钱,负面,2
这个产品非常好用，质量很棒！,正面,4
客服态度很好，解答很及时,正面,4
质量超出预期，服务态度很好,正面,5
物流一般，包装还行,中性,3
可以接受，但不会再买,中性,3
物流很快，包装很好，非常满意,正面,5
功能强大，操作简单，值得推荐,正面,5
物流太慢了，等了很久,负面,2
还算满意，有改进空间,中性,3
完全不符合预期，浪费钱,负面,1
还算满意，有改进空间,中性,3
普普通通，没什么特别的,中性,3
功能强大，操作简单，值得推荐,正面,4
这个产品非常好用，质量很棒！,正面,5
性价比很高，推荐购买,正面,5
这是我买过最好的产品了,正面,4
中规中矩的产品,中性,3
退货很麻烦，服务不好,负面,2
物流太慢了，等了很久,负面,1
物流太慢了，等了很久,负面,2
中规中矩的产品,中性,3
价格太贵，不值得,负面,1
包装破损，商品有瑕疵,负面,1
普普通通，没什么特别的,中性,3
中规中矩的产品,中性,3
与描述不符，很失望,负面,1
还算满意，有改进空间,中性,3
还可以吧，一般般,中性,3
包装破损，商品有瑕疵,负面,1
物流太慢了，等了很久,负面,2
外观很丑，做工粗糙,负面,1
这个产品非常好用，质量很棒！,正面,4
中规中矩的产品,中性,3
还可以吧，一般般,中性,3
普普通通，没什么特别的,中性,3
可以接受，但不会再买,中性,3
快递很快，商品和描述一致,正面,4
物流太慢了，等了很久,负面,2
完全不符合预期，浪费钱,负面,1
客服态度很好，解答很及时,正面,5
外观设计很漂亮，用起来很顺手,正面,4
性价比很高，推荐购买,正面,4
符合预期，没有惊喜,中性,3
中规中矩的产品,中性,3
包装破损，商品有瑕疵,负面,2
功能强大，操作简单，值得推荐,正面,5
外观很丑，做工粗糙,负面,1
包装破损，商品有瑕疵,负面,1
性价比很高，推荐购买,正面,4
物流太慢了，等了很久,负面,1
完全不符合预期，浪费钱,负面,1
功能有问题，操作复杂,负面,2
快递很快，商品和描述一致,正面,4
客服态度很好，解答很及时,正面,4
质量超出预期，服务态度很好,正面,4
价格太贵，不值得,负面,1
与描述不符，很失望,负面,2
质量超出预期，服务态度很好,正面,5
基本功能都有，凑合用,中性,3
性价比很高，推荐购买,正面,5
与描述不符，很失望,负面,1
性价比很高，推荐购买,正面,5
普普通通，没什么特别的,中性,3
完全不符合预期，浪费钱,负面,1
还可以吧，一般般,中性,3
客服态度很差，不推荐,负面,2
功能强大，操作简单，值得推荐,正面,4
中规中矩的产品,中性,3
普普通通，没什么特别的,中性,3
这个产品非常好用，质量很棒！,正面,5
这个产品非常好用，质量很棒！,正面,5
客服态度很好，解答很及时,正面,4
还可以吧，一般般,中性,3
与描述不符，很失望,负面,2
功能有问题，操作复杂,负面,1
价格实惠，质量不错,正面,5
与描述不符，很失望,负面,1
包装破损，商品有瑕疵,负面,2
客服态度很差，不推荐,负面,1
质量太差了，用了几天就坏了,负面,2
质量超出预期，服务态度很好,正面,4
质量超出预期，服务态度很好,正面,5
这是我买过最好的产品了,正面,4
这是我买过最好的产品了,正面,4
快递很快，商品和描述一致,正面,4
符合预期，没有惊喜,中性,3
价格实惠，质量不错,正面,5
这个产品非常好用，质量很棒！,正面,4
基本功能都有，凑合用,中性,3
价格实惠，质量不错,正面,4
基本功能都有，凑合用,中性,3
功能有问题，操作复杂,负面,2
符合预期，没有惊喜,中性,3
外观设计很漂亮，用起来很顺手,正面,5
价格实惠，质量不错,正面,4
包装破损，商品有瑕疵,负面,2
还可以吧，一般般,中性,3
客服态度很好，解答很及时,正面,4
包装破损，商品有瑕疵,负面,2
外观很丑，做工粗糙,负面,1
包装破损，商品有瑕疵,负面,1
质量超出预期，服务态度很好,正面,5
中规中矩的产品,中性,3
性价比很高，推荐购买,正面,4
外观很丑，做工粗糙,负面,1
客服态度很好，解答很及时,正面,5
质量超出预期，服务态度很好,正面,5
这是我买过最好的产品了,正面,5
还算满意，有改进空间,中性,3
价格太贵，不值得,负面,2
价格太贵，不值得,负面,2
价格实惠，质量不错,正面,4
质量太差了，用了几天就坏了,负面,2
完全不符合预期，浪费钱,负面,2
外观很丑，做工粗糙,负面,2
质量太差了，用了几天就坏了,负面,2
功能强大，操作简单，值得推荐,正面,5
这是我买过最好的产品了,正面,5
包装破损，商品有瑕疵,负面,2
与描述不符，很失望,负面,1
客服态度很差，不推荐,负面,2
外观很丑，做工粗糙,负面,2
外观设计很漂亮，用起来很顺手,正面,4
物流一般，包装还行,中性,3
质量太差了，用了几天就坏了,负面,1
普普通通，没什么特别的,中性,3
快递很快，商品和描述一致,正面,4
功能有问题，操作复杂,负面,2
普普通通，没什么特别的,中性,3
快递很快，商品和描述一致,正面,4
物流很快，包装很好，非常满意,正面,5
可以接受，但不会再买,中性,3
这个产品非常好用，质量很棒！,正面,5
功能有问题，操作复杂,负面,1
功能有问题，操作复杂,负面,2
质量太差了，用了几天就坏了,负面,2
物流很快，包装很好，非常满意,正面,4
退货很麻烦，服务不好,负面,2
可以接受，但不会再买,中性,3
质量太差了，用了几天就坏了,负面,2
外观很丑，做工粗糙,负面,1
客服态度很差，不推荐,负面,2
快递很快，商品和描述一致,正面,5
外观设计很漂亮，用起来很顺手,正面,5
普普通通，没什么特别的,中性,3
价格实惠，质量不错,正面,4
价格太贵，不值得,负面,2
还算满意，有改进空间,中性,3
可以接受，但不会再买,中性,3
完全不符合预期，浪费钱,负面,2
退货很麻烦，服务不好,负面,1
功能强大，操作简单，值得推荐,正面,5
退货很麻烦，服务不好,负面,2
还可以吧，一般般,中性,3
功能有问题，操作复杂,负面,1
质量超出预期，服务态度很好,正面,4
外观很丑，做工粗糙,负面,2
功能有问题，操作复杂,负面,1
外观很丑，做工粗糙,负面,1
功能有问题，操作复杂,负面,1
功能强大，操作简单，值得推荐,正面,5
物流很快，包装很好，非常满意,正面,4
这个产品非常好用，质量很棒！,正面,4
中规中矩的产品,中性,3
包装破损，商品有瑕疵,负面,1
质量太差了，用了几天就坏了,负面,1
这是我买过最好的产品了,正面,4
与描述不符，很失望,负面,2
客服态度很差，不推荐,负面,1
外观很丑，做工粗糙,负面,1
外观很丑，做工粗糙,负面,1
性价比一般，不算特别好,中性,3
物流一般，包装还行,中性,3
客服态度很好，解答很及时,正面,4
客服态度很差，不推荐,负面,1
价格合理，质量还行,中性,3
物流太慢了，等了很久,负面,1
包装破损，商品有瑕疵,负面,2
外观设计很漂亮，用起来很顺手,正面,5
价格实惠，质量不错,正面,5
符合预期，没有惊喜,中性,3
退货很麻烦，服务不好,负面,2
这是我买过最好的产品了,正面,5
物流很快，包装很好，非常满意,正面,5
客服态度很差，不推荐,负面,1
符合预期，没有惊喜,中性,3
这是我买过最好的产品了,正面,5
与描述不符，很失望,负面,2
外观很丑，做工粗糙,负面,1
物流很快，包装很好，非常满意,正面,4
客服态度很差，不推荐,负面,2
普普通通，没什么特别的,中性,3
与描述不符，很失望,负面,1
价格太贵，不值得,负面,1
退货很麻烦，服务不好,负面,2
物流太慢了，等了很久,负面,2
这个产品非常好用，质量很棒！,正面,4
物流一般，包装还行,中性,3
外观很丑，做工粗糙,负面,1
还算满意，有改进空间,中性,3
与描述不符，很失望,负面,1
物流一般，包装还行,中性,3
还算满意，有改进空间,中性,3
性价比很高，推荐购买,正面,4
客服态度很好，解答很及时,正面,5
包装破损，商品有瑕疵,负面,2
外观设计很漂亮，用起来很顺手,正面,5
这是我买过最好的产品了,正面,4
价格合理，质量还行,中性,3
物流很快，包装很好，非常满意,正面,4
物流一般，包装还行,中性,3
退货很麻烦，服务不好,负面,1
普普通通，没什么特别的,中性,3
价格太贵，不值得,负面,2
普普通通，没什么特别的,中性,3
外观设计很漂亮，用起来很顺手,正面,5
功能强大，操作简单，值得推荐,正面,4
功能强大，操作简单，值得推荐,正面,4
功能有问题，操作复杂,负面,1
外观设计很漂亮，用起来很顺手,正面,5
物流很快，包装很好，非常满意,正面,4
价格实惠，质量不错,正面,5
这是我买过最好的产品了,正面,5
这个产品非常好用，质量很棒！,正面,4
物流太慢了，等了很久,负面,2
符合预期，没有惊喜,中性,3
中规中矩的产品,中性,3
性价比一般，不算特别好,中性,3
退货很麻烦，服务不好,负面,2
客服态度很好，解答很及时,正面,4
性价比很高，推荐购买,正面,4
价格合理，质量还行,中性,3
物流太慢了，等了很久,负面,1
物流一般，包装还行,中性,3
外观设计很漂亮，用起来很顺手,正面,5
完全不符合预期，浪费钱,负面,1
质量太差了，用了几天就坏了,负面,1
功能有问题，操作复杂,负面,2
这是我买过最好的产品了,正面,5
性价比一般，不算特别好,中性,3
外观设计很漂亮，用起来很顺手,正面,4
完全不符合预期，浪费钱,负面,1
包装破损，商品有瑕疵,负面,1
功能强大，操作简单，值得推荐,正面,5
完全不符合预期，浪费钱,负面,1
客服态度很差，不推荐,负面,2
价格实惠，质量不错,正面,5
性价比一般，不算特别好,中性,3
功能有问题，操作复杂,负面,2
功能有问题，操作复杂,负面,2
性价比很高，推荐购买,正面,4
这个产品非常好用，质量很棒！,正面,4
还可以吧，一般般,中性,3
这个产品非常好用，质量很棒！,正面,4
质量太差了，用了几天就坏了,负面,1
物流很快，包装很好，非常满意,正面,5
这个产品非常好用，质量很棒！,正面,4
还算满意，有改进空间,中性,3
符合预期，没有惊喜,中性,3
性价比很高，推荐购买,正面,5
与描述不符，很失望,负面,1
完全不符合预期，浪费钱,负面,2
符合预期，没有惊喜,中性,3
客服态度很差，不推荐,负面,1
价格合理，质量还行,中性,3
价格合理，质量还行,中性,3
客服态度很好，解答很及时,正面,4
这个产品非常好用，质量很棒！,正面,5
符合预期，没有惊喜,中性,3
物流很快，包装很好，非常满意,正面,4
物流太慢了，等了很久,负面,1
性价比一般，不算特别好,中性,3
质量太差了，用了几天就坏了,负面,2
功能有问题，操作复杂,负面,1
功能有问题，操作复杂,负面,1
完全不符合预期，浪费钱,负面,1
质量超出预期，服务态度很好,正面,4
快递很快，商品和描述一致,正面,5
包装破损，商品有瑕疵,负面,2
功能有问题，操作复杂,负面,2
性价比很高，推荐购买,正面,5
外观很丑，做工粗糙,负面,1
与描述不符，很失望,负面,2
外观很丑，做工粗糙,负面,2
价格太贵，不值得,负面,2
物流太慢了，等了很久,负面,1
物流太慢了，等了很久,负面,1
普普通通，没什么特别的,中性,3
包装破损，商品有瑕疵,负面,2
物流太慢了，等了很久,负面,1
完全不符合预期，浪费钱,负面,1
质量超出预期，服务态度很好,正面,4
符合预期，没有惊喜,中性,3
价格太贵，不值得,负面,2
质量超出预期，服务态度很好,正面,4
物流一般，包装还行,中性,3
还可以吧，一般般,中性,3
物流很快，包装很好，非常满意,正面,5
物流很快，包装很好，非常满意,正面,4
基本功能都有，凑合用,中性,3
包装破损，商品有瑕疵,负面,1
退货很麻烦，服务不好,负面,1
中规中矩的产品,中性,3
价格实惠，质量不错,正面,5
性价比一般，不算特别好,中性,3
还算满意，有改进空间,中性,3
退货很麻烦，服务不好,负面,2
价格太贵，不值得,负面,2
价格实惠，质量不错,正面,4
基本功能都有，凑合用,中性,3
这个产品非常好用，质量很棒！,正面,5
快递很快，商品和描述一致,正面,5
功能强大，操作简单，值得推荐,正面,4
这个产品非常好用，质量很棒！,正面,4
物流很快，包装很好，非常满意,正面,4
包装破损，商品有瑕疵,负面,2
质量超出预期，服务态度很好,正面,5
快递很快，商品和描述一致,正面,5
物流很快，包装很好，非常满意,正面,5
包装破损，商品有瑕疵,负面,2
完全不符合预期，浪费钱,负面,2
价格太贵，不值得,负面,1
质量超出预期，服务态度很好,正面,4
价格合理，质量还行,中性,3
客服态度很好，解答很及时,正面,4
客服态度很差，不推荐,负面,2
性价比一般，不算特别好,中性,3
外观设计很漂亮，用起来很顺手,正面,4
这是我买过最好的产品了,正面,5
功能强大，操作简单，值得推荐,正面,5
快递很快，商品和描述一致,正面,5
价格合理，质量还行,中性,3
物流一般，包装还行,中性,3
普普通通，没什么特别的,中性,3
质量超出预期，服务态度很好,正面,5
功能强大，操作简单，值得推荐,正面,5
价格实惠，质量不错,正面,4
中规中矩的产品,中性,3
质量超出预期，服务态度很好,正面,5
功能有问题，操作复杂,负面,1
物流很快，包装很好，非常满意,正面,5
包装破损，商品有瑕疵,负面,1
性价比一般，不算特别好,中性,3
这是我买过最好的产品了,正面,4
价格合理，质量还行,中性,3
与描述不符，很失望,负面,2
质量超出预期，服务态度很好,正面,4
客服态度很好，解答很及时,正面,4
质量超出预期，服务态度很好,正面,4
功能有问题，操作复杂,负面,2
质量太差了，用了几天就坏了,负面,2
与描述不符，很失望,负面,1
符合预期，没有惊喜,中性,3
价格合理，质量还行,中性,3
价格合理，质量还行,中性,3
符合预期，没有惊喜,中性,3
质量太差了，用了几天就坏了,负面,2
外观设计很漂亮，用起来很顺手,正面,5
客服态度很差，不推荐,负面,2
价格实惠，质量不错,正面,5
价格太贵，不值得,负面,1
这个产品非常好用，质量很棒！,正面,4
价格合理，质量还行,中性,3
物流一般，包装还行,中性,3
物流一般，包装还行,中性,3
客服态度很好，解答很及时,正面,5
外观设计很漂亮，用起来很顺手,正面,5
物流一般，包装还行,中性,3
性价比很高，推荐购买,正面,4
符合预期，没有惊喜,中性,3
基本功能都有，凑合用,中性,3
包装破损，商品有瑕疵,负面,1
价格实惠，质量不错,正面,4
退货很麻烦，服务不好,负面,1
质量太差了，用了几天就坏了,负面,1
性价比很高，推荐购买,正面,4
物流很快，包装很好，非常满意,正面,5
退货很麻烦，服务不好,负面,2
还算满意，有改进空间,中性,3
价格实惠，质量不错,正面,4
包装破损，商品有瑕疵,负面,1
基本功能都有，凑合用,中性,3
物流太慢了，等了很久,负面,1
还算满意，有改进空间,中性,3
外观设计很漂亮，用起来很顺手,正面,4
价格太贵，不值得,负面,2
可以接受，但不会再买,中性,3
与描述不符，很失望,负面,1
客服态度很差，不推荐,负面,2
物流很快，包装很好，非常满意,正面,4
这个产品非常好用，质量很棒！,正面,5
可以接受，但不会再买,中性,3
快递很快，商品和描述一致,正面,5
客服态度很差，不推荐,负面,1
这个产品非常好用，质量很棒！,正面,5
性价比很高，推荐购买,正面,5
客服态度很好，解答很及时,正面,5
价格实惠，质量不错,正面,4
快递很快，商品和描述一致,正面,5
质量超出预期，服务态度很好,正面,5
外观设计很漂亮，用起来很顺手,正面,4
功能强大，操作简单，值得推荐,正面,4
质量超出预期，服务态度很好,正面,4
质量超出预期，服务态度很好,正面,4
客服态度很好，解答很及时,正面,5
包装破损，商品有瑕疵,负面,2
性价比很高，推荐购买,正面,5
完全不符合预期，浪费钱,负面,2
物流很快，包装很好，非常满意,正面,5
客服态度很差，不推荐,负面,1
价格合理，质量还行,中性,3
物流很快，包装很好，非常满意,正面,4
价格合理，质量还行,中性,3
快递很快，商品和描述一致,正面,4
性价比很高，推荐购买,正面,5
与描述不符，很失望,负面,1
客服态度很差，不推荐,负面,1
价格实惠，质量不错,正面,4
外观很丑，做工粗糙,负面,2
退货很麻烦，服务不好,负面,2
基本功能都有，凑合用,中性,3
可以接受，但不会再买,中性,3
基本功能都有，凑合用,中性,3
退货很麻烦，服务不好,负面,2
普普通通，没什么特别的,中性,3
完全不符合预期，浪费钱,负面,2
物流太慢了，等了很久,负面,2
还可以吧，一般般,中性,3
物流太慢了，等了很久,负面,2
退货很麻烦，服务不好,负面,1
还算满意，有改进空间,中性,3
基本功能都有，凑合用,中性,3
质量超出预期，服务态度很好,正面,4
完全不符合预期，浪费钱,负面,2
功能有问题，操作复杂,负面,2
与描述不符，很失望,负面,2
物流太慢了，等了很久,负面,1
物流一般，包装还行,中性,3
外观很丑，做工粗糙,负面,2
可以接受，但不会再买,中性,3
这个产品非常好用，质量很棒！,正面,4
物流太慢了，等了很久,负面,1
这个产品非常好用，质量很棒！,正面,5
性价比很高，推荐购买,正面,4
外观设计很漂亮，用起来很顺手,正面,4
